Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Glioma Signaling	0.289	0.0545	-1	"CALML5,CAMK2B,CCND1,IGF2,MDM2,PIK3C2G"
IL-9 Signaling	0.285	0.0606	#NUM!	"PIK3C2G,SOCS2"
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	0.285	0.0532	1.897	"APOD,APOE,MAP3K6,MAPK10,NGFR,PIK3C2G,PPP1R14C,RHOJ,RHOV,RND3"
CD27 Signaling in Lymphocytes	0.279	0.0566	#NUM!	"MAP2K6,MAP3K6,MAPK10"
Phototransduction Pathway	0.279	0.0566	#NUM!	"CNGA1,GUCY1A1,PRKACB"
DNA Double-Strand Break Repair by Homologous Recombination	0.278	0.0714	#NUM!	RAD51
PPAR_/RXR_ Activation	0.273	0.0526	1.342	"ADCY3,ADCY5,GNA14,IL1B,MAP2K6,PLCB4,PLCD3,PLCH2,PRKACB,PRKAG3"
MIF-mediated Glucocorticoid Regulation	0.272	0.0588	#NUM!	"PLA2G4A,PLA2G4C"
Estrogen-Dependent Breast Cancer Signaling	0.265	0.0541	#NUM!	"CCND1,HSD17B14,HSD17B2,PIK3C2G"
Isoleucine Degradation I	0.258	0.0667	#NUM!	SDS
Adenosine Nucleotides Degradation II	0.258	0.0667	#NUM!	ACPP
Histidine Degradation VI	0.258	0.0667	#NUM!	CYP26B1
Angiopoietin Signaling	0.257	0.0533	#NUM!	"ANGPTL1,PAK6,PIK3C2G,TEK"
Macropinocytosis Signaling	0.249	0.0526	#NUM!	"ITGA5,ITGB3,ITGB6,PIK3C2G"
Chondroitin Sulfate Degradation (Metazoa)	0.24	0.0625	#NUM!	HYAL2
Glutaryl-CoA Degradation	0.24	0.0625	#NUM!	CYP2S1
Superpathway of Methionine Degradation	0.236	0.0541	#NUM!	"BHMT2,CDO1"
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	0.225	0.0526	#NUM!	"DIO2,DIO3"
Ubiquinol-10 Biosynthesis (Eukaryotic)	0.224	0.0588	#NUM!	CYP26B1
Dermatan Sulfate Degradation (Metazoa)	0.224	0.0588	#NUM!	HYAL2
"D-myo-inositol (1,4,5)-trisphosphate Degradation"	0.224	0.0588	#NUM!	INPP5D
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	0.209	0.0556	#NUM!	IL1B
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	0.209	0.0556	#NUM!	INPP5D
Valine Degradation I	0.209	0.0556	#NUM!	SDS
Purine Nucleotides Degradation II (Aerobic)	0.209	0.0556	#NUM!	ACPP
"D-myo-inositol (1,3,4)-trisphosphate Biosynthesis"	0.209	0.0556	#NUM!	INPP5D
DNA damage-induced 14-3-3_ Signaling	0.195	0.0526	#NUM!	SFN
Apelin Muscle Signaling Pathway	0.195	0.0526	#NUM!	PRKAG3
Glucocorticoid Receptor Signaling	0	0.0417	#NUM!	"A2M,CD163,IL1B,KRT15,KRT19,KRT5,KRT6B,MAPK10,PGR,PIK3C2G,POMC,PRKACB,PRKAG3,TSC22D3"
Natural Killer Cell Signaling	0	0.0305	0	"COL18A1,IL12RB2,KLRC4-KLRK1/KLRK1,MAP3K6,PAK6,PIK3C2G"
IL-10 Signaling	0	0.0435	#NUM!	"IL1B,LBP,MAP2K6"
Fc Epsilon RI Signaling	0	0.0513	1.633	"INPP5D,MAP2K6,MAPK10,PIK3C2G,PLA2G4A,PLA2G4C"
Mitochondrial Dysfunction	0	0.0117	#NUM!	"MAPK10,NDUFA4L2"
Ceramide Signaling	0	0.0341	#NUM!	"NGFR,PIK3C2G,SPHK1"
Tight Junction Signaling	0	0.0238	#NUM!	"CLDN11,NGFR,PRKACB,TIAM1"
Erythropoietin Signaling	0	0.0132	#NUM!	PIK3C2G
Activation of IRF by Cytosolic Pattern Recognition Receptors	0	0.0317	#NUM!	"ISG15,MAPK10"
Fc_ Receptor-mediated Phagocytosis in Macrophages and Monocytes	0	0.0319	#NUM!	"FGR,INPP5D,PIK3C2G"
IL-12 Signaling and Production in Macrophages	0	0.0455	#NUM!	"ALOX12,APOD,APOE,IL12RB2,MAPK10,PIK3C2G"
Role of NFAT in Regulation of the Immune Response	0	0.0331	-1.342	"CALML5,GNA14,GNAO1,GNG2,PIK3C2G,PLCB4"
LPS-stimulated MAPK Signaling	0	0.0488	#NUM!	"LBP,MAP2K6,MAPK10,PIK3C2G"
IL-22 Signaling	0	0.0417	#NUM!	MAPK10
CD40 Signaling	0	0.0462	#NUM!	"MAP2K6,MAPK10,PIK3C2G"
Calcium-induced T Lymphocyte Apoptosis	0	0.0152	#NUM!	CALML5
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	0	0.0294	#NUM!	FAS
IL-3 Signaling	0	0.0253	#NUM!	"INPP5D,PIK3C2G"
Lymphotoxin _ Receptor Signaling	0	0.0189	#NUM!	PIK3C2G
IL-17 Signaling	0	0.05	#NUM!	"MAP2K6,MAPK10,MUC5B,PIK3C2G"
fMLP Signaling in Neutrophils	0	0.0345	-1	"CALML5,GNG2,PIK3C2G,PLCB4"
4-1BB Signaling in T Lymphocytes	0	0.0312	#NUM!	MAPK10
Thrombopoietin Signaling	0	0.0159	#NUM!	PIK3C2G
CTLA4 Signaling in Cytotoxic T Lymphocytes	0	0.0112	#NUM!	PIK3C2G
B Cell Activating Factor Signaling	0	0.0244	#NUM!	MAPK10
T Helper Cell Differentiation	0	0.0411	#NUM!	"IL12RB2,NGFR,TBX21"
Oncostatin M Signaling	0	0.0233	#NUM!	TIMP3
CD28 Signaling in T Helper Cells	0	0.025	#NUM!	"CALML5,MAPK10,PIK3C2G"
IL-15 Signaling	0	0.0133	#NUM!	PIK3C2G
Role of Cytokines in Mediating Communication between Immune Cells	0	0.0185	#NUM!	IL1B
CNTF Signaling	0	0.0351	#NUM!	"CNTFR,PIK3C2G"
iCOS-iCOSL Signaling in T Helper Cells	0	0.036	-1	"CALML5,CAMK2B,INPP5D,PIK3C2G"
Cell Cycle Regulation by BTG Family Proteins	0	0.027	#NUM!	CCND1
Role of CHK Proteins in Cell Cycle Checkpoint Control	0	0.0351	#NUM!	"CHEK1,CLSPN"
FLT3 Signaling in Hematopoietic Progenitor Cells	0	0.025	#NUM!	"INPP5D,PIK3C2G"
Polyamine Regulation in Colon Cancer	0	0.0455	#NUM!	OAZ3
DNA Methylation and Transcriptional Repression Signaling	0	0.0286	#NUM!	H4C3
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	0	0.0435	#NUM!	"FOXA1,SOX2"
Prolactin Signaling	0	0.0247	#NUM!	"PIK3C2G,SOCS2"
Prostate Cancer Signaling	0	0.033	#NUM!	"CCND1,MDM2,PIK3C2G"
Renal Cell Carcinoma Signaling	0	0.025	#NUM!	"PAK6,PIK3C2G"
Small Cell Lung Cancer Signaling	0	0.0423	#NUM!	"CCND1,PIK3C2G,RXRG"
Endometrial Cancer Signaling	0	0.0333	#NUM!	"CCND1,PIK3C2G"
Primary Immunodeficiency Signaling	0	0.02	#NUM!	IGHD
Allograft Rejection Signaling	0	0.0116	#NUM!	FAS
Autoimmune Thyroid Disease Signaling	0	0.0408	#NUM!	"FAS,TSHR"
Graft-versus-Host Disease Signaling	0	0.0417	#NUM!	"FAS,IL1B"
Chronic Myeloid Leukemia Signaling	0	0.0388	#NUM!	"CCND1,HDAC9,MDM2,PIK3C2G"
Non-Small Cell Lung Cancer Signaling	0	0.0411	#NUM!	"CCND1,PIK3C2G,RXRG"
ERK5 Signaling	0	0.0139	#NUM!	SFN
mTOR Signaling	0	0.0429	1	"ARHGAP8/PRR5-ARHGAP8,DDIT4,EIF3C,PGF,PIK3C2G,PRKAG3,RHOJ,RHOV,RND3"
Communication between Innate and Adaptive Immune Cells	0	0.0312	#NUM!	"IGHD,IL1B,TLR6"
Systemic Lupus Erythematosus Signaling	0	0.0306	#NUM!	"BDKRB2,C7,IL1B,INPP5D,PIK3C2G,RNU4-1,RNU4-2"
Cdc42 Signaling	0	0.0299	2	"ARHGEF6,ITGA2,ITGA3,ITGA5,MAPK10"
EIF2 Signaling	0	0.0268	0	"CCND1,EIF2B3,EIF3C,MT-TM,PIK3C2G,RPL39L"
April Mediated Signaling	0	0.0256	#NUM!	MAPK10
AMPK Signaling	0	0.0327	-1.633	"ADRB1,CCND1,CFTR,PFKFB4,PIK3C2G,PRKACB,PRKAG3"
RhoA Signaling	0	0.0488	1.342	"ARHGAP8/PRR5-ARHGAP8,CIT,NRP2,RND3,SEPTIN5,TTN"
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	0	0.0333	#NUM!	"FAS,IL1B,TLR6"
Regulation of eIF4 and p70S6K Signaling	0	0.0382	1	"EIF2B3,EIF3C,ITGA2,ITGA3,ITGA5,PIK3C2G"
B Cell Development	0	0.0278	#NUM!	IGHD
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	0	0.0225	#NUM!	"CALML5,MAPK10"
Role of Wnt/GSK-3_ Signaling in the Pathogenesis of Influenza	0	0.0513	#NUM!	"FZD1,SMO,TCF7L1,WNT5A"
Nur77 Signaling in T Lymphocytes	0	0.0339	#NUM!	"CALML5,HDAC9"
PKC_ Signaling in T Lymphocytes	0	0.0452	#NUM!	"CACNA2D1,CACNA2D3,CACNB1,CACNB2,CAMK2B,MAP3K6,PIK3C2G"
TNFR1 Signaling	0	0.02	#NUM!	PAK6
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	0	0.0156	#NUM!	PIK3C2G
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	0	0.0233	#NUM!	IL1B
MSP-RON Signaling Pathway	0	0.0517	#NUM!	"KLK10,KLK7,PIK3C2G"
OX40 Signaling Pathway	0	0.0111	#NUM!	MAPK10
PI3K Signaling in B Lymphocytes	0	0.0435	0	"CALML5,CAMK2B,INPP5D,PLCB4,PLCD3,PLCH2"
Cyclins and Cell Cycle Regulation	0	0.037	#NUM!	"CCND1,CCND2,HDAC9"
IL-17A Signaling in Fibroblasts	0	0.0286	#NUM!	LCN2
Role of IL-17F in Allergic Inflammatory Airway Diseases	0	0.0238	#NUM!	IL1B
Role of JAK2 in Hormone-like Cytokine Signaling	0	0.0294	#NUM!	SOCS2
Role of JAK family kinases in IL-6-type Cytokine Signaling	0	0.04	#NUM!	MAPK10
Role of JAK1 and JAK3 in _c Cytokine Signaling	0	0.029	#NUM!	"FES,PIK3C2G"
NGF Signaling	0	0.0439	1.342	"BAX,MAP3K6,MAPK10,NGFR,PIK3C2G"
Telomerase Signaling	0	0.0187	#NUM!	"HDAC9,PIK3C2G"
Mouse Embryonic Stem Cell Pluripotency	0	0.0485	1.342	"FZD1,PIK3C2G,SMO,SOX2,TCF7L1"
Hematopoiesis from Pluripotent Stem Cells	0	0.0204	#NUM!	IGHD
ErbB4 Signaling	0	0.0448	#NUM!	"NRG1,NRG2,PIK3C2G"
Estrogen-mediated S-phase Entry	0	0.0385	#NUM!	CCND1
Heparan Sulfate Biosynthesis	0	0.0385	#NUM!	"CHST3,CHST7,HS6ST1"
Heparan Sulfate Biosynthesis (Late Stages)	0	0.0423	#NUM!	"CHST3,CHST7,HS6ST1"
NAD Salvage Pathway II	0	0.0385	#NUM!	ACPP
Pyridoxal 5'-phosphate Salvage Pathway	0	0.0308	#NUM!	"MAP2K6,MAP3K6"
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	0	0.0455	#NUM!	NME5
Triacylglycerol Degradation	0	0.0426	#NUM!	"CEL,CES1"
"Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism"	0	0.0435	#NUM!	INPP5D
Tryptophan Degradation III (Eukaryotic)	0	0.0435	#NUM!	CYP2S1
Triacylglycerol Biosynthesis	0	0.0476	#NUM!	"ELOVL2,PLPP1"
Salvage Pathways of Pyrimidine Ribonucleotides	0	0.0412	2	"MAP2K6,MAP3K6,NME5,UPP1"
Fatty Acid _-oxidation I	0	0.0312	#NUM!	SDS
Superpathway of Cholesterol Biosynthesis	0	0.0345	#NUM!	DHCR24
Epithelial Adherens Junction Signaling	0	0.0461	#NUM!	"FGF1,FGFR1,NOTCH1,PTPRM,SNAI2,TCF7L1,TUBA1A"
Remodeling of Epithelial Adherens Junctions	0	0.0147	#NUM!	TUBA1A
UVB-Induced MAPK Signaling	0	0.0385	#NUM!	"MAPK10,PIK3C2G"
UVC-Induced MAPK Signaling	0	0.0196	#NUM!	MAPK10
Vitamin-C Transport	0	0.0417	#NUM!	STOM
Unfolded protein response	0	0.0179	#NUM!	HSPH1
EGF Signaling	0	0.0182	#NUM!	PIK3C2G
SAPK/JNK Signaling	0	0.049	-0.447	"DUSP4,GADD45A,GNG2,MAPK10,PIK3C2G"
Protein Ubiquitination Pathway	0	0.0366	#NUM!	"DNAJB1,DNAJB7,DNAJC12,HSPA12A,HSPB1,HSPB7,HSPH1,MDM2,SMO,UCHL1"
IL-2 Signaling	0	0.0164	#NUM!	PIK3C2G
JAK/Stat Signaling	0	0.025	#NUM!	"PIK3C2G,SOCS2"
IL-4 Signaling	0	0.0235	#NUM!	"INPP5D,PIK3C2G"
B Cell Receptor Signaling	0	0.0378	0	"CALML5,CAMK2B,IGHD,INPP5D,MAP2K6,MAP3K6,PIK3C2G"
Insulin Receptor Signaling	0	0.0357	0.447	"EIF2B3,INPP5D,PIK3C2G,PPP1R14C,PRKACB"
PPAR Signaling	0	0.0192	#NUM!	"IL1B,NGFR"
Dopamine Receptor Signaling	0	0.0519	#NUM!	"ADCY3,ADCY5,PPP1R14C,PRKACB"
Apoptosis Signaling	0	0.0505	1.342	"BAX,CAPN5,CAPN6,FAS,GAS2"
VEGF Signaling	0	0.0404	#NUM!	"EIF2B3,PGF,PIK3C2G,SFN"
Hypoxia Signaling in the Cardiovascular System	0	0.0135	#NUM!	MDM2
T Cell Receptor Signaling	0	0.0381	#NUM!	"BMX,CALML5,PIK3C2G,TEC"
PDGF Signaling	0	0.0465	-1	"CAV1,INPP5D,PIK3C2G,SPHK1"
Phagosome Maturation	0	0.0397	#NUM!	"ATP6V0A4,CTSB,CTSK,CTSV,DYNC1I1,TUBA1A"
Autophagy	0	0.0492	#NUM!	"CTSB,CTSK,CTSV"
"PD-1, PD-L1 cancer immunotherapy pathway"	0	0.0189	#NUM!	"NGFR,PIK3C2G"
Th1 and Th2 Activation Pathway	0	0.0409	#NUM!	"IL12RB2,JAG1,JAG2,MAP2K6,NOTCH1,PIK3C2G,TBX21"
Th1 Pathway	0	0.0413	0.447	"IL12RB2,MAP2K6,NOTCH1,PIK3C2G,TBX21"
Th2 Pathway	0	0.0441	0.816	"IL12RB2,JAG1,JAG2,NOTCH1,PIK3C2G,TBX21"
IL-7 Signaling Pathway	0	0.0385	#NUM!	"BAX,CCND1,PIK3C2G"
Sirtuin Signaling Pathway	0	0.0206	1.342	"BAX,GADD45A,NDUFA4L2,RBBP8,SOD3,TUBA1A"
Th17 Activation Pathway	0	0.044	-1	"CCL20,IL12RB2,IL1B,IRAK3"
NER Pathway	0	0.00971	#NUM!	H4C3
FAT10 Cancer Signaling Pathway	0	0.0217	#NUM!	NGFR
T Cell Exhaustion Signaling Pathway	0	0.0229	#NUM!	"IL12RB2,MAPK10,PIK3C2G,TBX21"
Systemic Lupus Erythematosus In T Cell Signaling Pathway	0	0.024	1.414	"FAS,GADD45A,LEPR,MAP2K6,PIK3C2G,RHOJ,RHOV,RND3"
Systemic Lupus Erythematosus In B Cell Signaling Pathway	0	0.0473	1.387	"CALML5,CCND1,CCND2,FGR,IFIT3,IGHD,IL1B,INPP5D,ISG15,PIK3C2G,SHC3,TNFSF15,TNFSF8"
Senescence Pathway	0	0.0436	0.577	"CALML5,CAPN5,CAPN6,CCND1,CHEK1,DHCR24,GADD45A,MAP2K6,MDM2,PIK3C2G,SAA1,SAA2"
Inhibition of ARE-Mediated mRNA Degradation Pathway	0	0.0492	1.633	"NGFR,POMC,PRKACB,SFN,TNFSF15,TNFSF8"
Xenobiotic Metabolism General Signaling Pathway	0	0.042	1.633	"GSTA1,GSTM5,MAP2K6,MAP3K6,MGST1,PIK3C2G"
GM-CSF Signaling	0	0.0429	#NUM!	"CAMK2B,CCND1,PIK3C2G"
