Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
IL10RA	0.257	transmembrane receptor	Activated	2.971	 	0.0000137	"ABCG1,ASPN,B3GNT7,B4GALNT3,BOC,CCL22,CCN3,CFB,CYP2S1,DCN,ECM1,EHF,FAM83B,FERMT1,FHL1,FN1,GBP6,GSDMC,HEPACAM2,LCN2,LUM,OGN,P3H2,PCOLCE,PMP22,POSTN,SPARC,SPON1,ST6GALNAC2,SULT1C2,THBS4,TNFSF15,VSIG2,WFDC2"	 
IL11RA	0.256	transmembrane receptor	 	0.164	bias	0.00255	"CCL20,MMP12,MMP2,MMP7,MMP9,POSTN,SAA1,SELP"	353 (13)
ZBTB5	0.252	transcription regulator	 	 	 	0.0494	CDKN1A	 
ZNF431	0.251	transcription regulator	 	 	 	0.00361	"ENPP5,POSTN,TGFB3"	 
KDM5B	0.248	transcription regulator	 	-0.728	bias	0.0369	"CCNB1,CDK1,CLDN1,FHL1,FJX1,IGFBP2,MCAM,PDE3B,SCNN1A,SOX9,TGFB2,WNT7B"	 
EPAS1	0.248	transcription regulator	 	1.938	bias	0.00251	"CA12,CCN5,CCR5,CDKN1A,CLDN1,CXCL12,EGLN3,FHL1,FN1,ITGB3,L1CAM,LOX,NOTCH1,NRARP,NT5E,PCDH10,PGF,PKIB,PTPRZ1,SOX9,TGFB3,TNFSF15"	377 (22)
KLF7	0.247	transcription regulator	 	 	 	0.0137	"CDKN1A,NTRK1"	 
FGF2	0.245	growth factor	Activated	2.55	bias	5.34E-13	"ACAN,ANPEP,AXIN2,BGN,BIRC5,CCL20,CCN3,CCN4,CDH1,CDH11,CDKN1A,CXCL12,DCN,DIO3,DKK2,EGLN3,ELAVL4,ELN,EPCAM,ETV4,ETV5,FGFR1,FGFR3,FN1,FTH1,GRIN2A,GRIN2C,IGF2,IGFBP2,IGFBP4,ITGA3,KL,LOX,MCAM,MMP2,MMP9,NES,NGFR,NOTCH1,PCSK2,PDGFRB,PGF,PITX2,PLAT,PLK2,PLXDC1,SCG2,SDC1,SEMA6D,SFRP1,SNAI1,SNAI2,SOX9,SPARC,SPP1,SPRY4,TGFB2,TWIST2,WNT7B"	424 (23)
MTA1	0.241	transcription regulator	 	1.558	 	0.00194	"CCN4,CCN5,CDH1,HUNK,MMP2,MMP9,PITX2,SNAI1"	396 (24)
CBX5	0.238	transcription regulator	Inhibited	-2	bias	0.00000506	"AGR2,AKR1C3,AXIN2,BIRC5,CDKN1A,CPA4,CYP1B1,FOXQ1,ITGA7,KIT,LAMB3,LCN2,MMP7,MUC20,PROM2,SCN2A,TACSTD2,TFF3,TSPAN8"	86 (5)
TGFBR2	0.235	kinase	Activated	2.257	 	0.00000206	"ADORA2B,ATP1A2,BGN,BIRC5,CDH1,CDKN1A,COL4A6,FGF7,FMOD,FN1,GLI2,MMP12,MMP2,MMP9,NRP1,PAX9,PITX2,PTGES,PTH1R,SCN7A,SELP,SNAI1,SPARC,SPP1,SVEP1,TGFB2,TGFB3"	390 (18)
BMPR1B	0.227	kinase	Activated	2	bias	0.00026	"ACAN,CDKN1A,CYP19A1,DLX5,POSTN,SOX6,SOX9"	272 (15)
STAT3	0.224	transcription regulator	Activated	2.206	bias	0.00000918	"A2M,AGT,BIRC5,BOC,CCL20,CCNB1,CCR5,CDH1,CDK1,CDKN1A,CFB,CHEK1,CX3CL1,CXCL9,E2F7,EGR2,EGR3,FN1,GBP6,HP,IFI27,IFI6,IL13RA2,ITGB6,JAG1,LAMB3,LBP,LEPR,LOX,LTF,MMP12,MMP2,MMP7,MMP9,MT-ND5,MT-ND6,NES,NOTCH1,NRP1,NUMBL,PLA2G2A,PROM1,PTN,ROR1,SAA1,SELP,SMAD6,SMAD9,SNAI1,SNAI2,SOX6,SYNPO,TFF3,VCAN,VIP,VTCN1"	448 (19)
CARM1	0.221	transcription regulator	Activated	2.169	bias	0.0115	"CCNB1,CDKN1A,EGR3,FTH1,IGFBP4,PTGES"	 
MTA2	0.219	transcription regulator	 	 	 	0.00802	"CDKN1A,CPA3,GATA2,GPT,KIT"	6 (2)
HDAC4	0.213	transcription regulator	 	-0.514	 	0.00276	"CALCB,CCNB1,CDKN1A,CHRDL1,DGKB,EGR2,KLF2,MMP9,NRCAM,NTM,PMP22,PPM1E,RGS4,SERPINB2,SNAP25"	236 (14)
SMARCA4	0.211	transcription regulator	Activated	5.179	bias	2.29E-10	"A2M,AGR2,AGT,ATP6V1B1,AXIN2,BIRC5,CCDC9B,CCNA2,CDH1,CDH11,CDKN1A,CHODL,COL7A1,CP,CPS1,DUSP4,ECM2,EDNRA,EHF,EVA1A,FN1,GJB5,GPR83,HEPH,IFI27,IGFBP4,IGFBP7,IL1RAPL1,IRF6,ITGA3,ITGA7,KIT,KRT15,LAMC2,LOX,LUM,MFGE8,MMP2,MMP7,MN1,NECTIN1,NIM1K,NOSTRIN,NRP1,PHEX,PHLDB1,PITX2,PLAT,PPP1R14C,RAB38,SCGB2A2,SEMA3B,SERPINB2,SERPINB5,SMAD6,SOD3,SPP1,SRPX,TACSTD2,TBX2,TCIM,TGFB2,THY1,TIMP2,TNFRSF10C,TNFRSF9,TNNI2,TNNT3,TRIM36,TSPAN8"	436 (22)
ITGAV	0.205	transmembrane receptor	 	-0.218	bias	0.000966	"CDH1,CDK1,CDKN1A,FN1,ITGB3,MMP2,MMP9"	327 (20)
MST1	0.203	growth factor	 	1.114	bias	0.0371	"BIRC5,GPC3,MST1R,SPP1"	 
MYB	0.203	transcription regulator	 	1.339	bias	0.000483	"ANPEP,AXIN2,BIRC5,CAMK2B,CCNB1,CDH1,CDK1,CXCL12,FN1,IGF2,KIT,LANCL3,LCN2,MMP11,NOTCH1,SDC1,SNAI1,SNAI2,SPP1,TNFRSF9"	389 (19)
OSM	0.203	cytokine	Activated	2.501	bias	3.15E-09	"A2M,ABCG1,ADAMTS3,AKR1C3,AMACR,ANXA1,BBOX1,C1S,CAMP,CCL20,CDH1,CDH3,CDH8,CDKN1A,CHI3L2,CNTN6,COL8A1,CRLF1,CTSV,CXADR,CXCL12,CYP19A1,CYP1B1,CYP4F3,DSG3,ECM1,ECM2,EPCAM,FN1,GAS7,GJB5,GRIN2A,GRIN2C,HP,HSD11B2,JAG1,KLK7,KRT19,LBP,LCN2,MMP2,MMP9,MPZL2,NOMO1 (includes others),OLFML2A,PGF,PI3,PITX2,PRR4,PTGES,PTPRZ1,SAA1,SCNN1B,SELP,SERPING1,SPP1,SULT2B1,SULT4A1,TM7SF2,VDR,VIP,XDH"	422 (21)
ZNF426	0.197	transcription regulator	 	 	 	0.0494	XIST	 
TNFRSF11B	0.191	transmembrane receptor	 	 	 	0.0285	"MMP9,NOTCH1,SDC1,SPP1"	 
YAP1	0.187	transcription regulator	 	1.65	bias	0.0332	"BIRC5,CCN5,CCNA2,CCNB1,CDH1,CDK1,CDKN1A,FBXO32,FGF1,FN1,GDF15,IGF2,MSLN,NEGR1,RPL39,SNAI2,SOX9,TGFB2,TP63,TP73,WTIP"	 
LMO2	0.182	transcription regulator	Activated	2.683	 	0.0297	"ANXA1,AXIN2,BMP7,CDH13,CDKN1A,COL18A1,CPA3,DACT3,EGLN3,FBLN1,FGFR3,FTH1,KIT,MDK,MFGE8,NKX3-1,NT5E,SERPINF1,TGFB2,THY1,VDR,ZMAT3"	 
INSR	0.18	kinase	 	0.424	bias	0.0262	"BIRC5,CDK1,CDKN1A,COL6A3,CORO2B,CTSV,CYP1B1,DIO3,EGR2,FBLN1,FHL1,FURIN,H19,IGF2,KIT,LEPR,MMP11,MMP12,MMP2,MMP9,MYBL2,NGF,OGN,PDK4,SEZ6L2,SMPX,TFAP2C,TGFB3,THBS2"	 
TCF4	0.176	transcription regulator	 	0.991	 	0.0000477	"AXIN2,BIRC5,BMP7,CCN5,CCNA2,CDK1,CDKN1A,EPCAM,FGF1,FN1,IDO1,IGF2,IGFBP2,IGFBP4,IL4I1,ITGA3,ITGB3,JAG1,LAMC2,MIA,MPV17L,NANOS1,NCAPG,NGFR,NOTCH1,NTRK1,OCA2,PAK5,PHEX,PITX2,PLK2,RIPOR2,SERPINF1,SMAD6,SNAI2,SOX9,SPC25,SPP1,VCAN"	410 (22)
IL1RN	0.163	cytokine	 	-0.943	bias	0.0273	"CCL20,IFI27,IFI44L,IFI6,IGFBP4,L1CAM,MMP9,NGF,NTRK1,RARRES1,SLC6A4,SPP1"	 
TFDP1	0.16	transcription regulator	 	 	 	0.0307	"CDK1,CDKN1A,FGFR1,MYBL2,TP73"	 
KDM4A	0.159	transcription regulator	 	 	 	0.0486	"CDKN1A,FHL1,TTYH1"	 
KDM3A	0.159	transcription regulator	 	1.335	bias	0.00892	"AJUBA,FSTL3,GDF15,MCAM,MMP12,MMP9"	106 (5)
MECP2	0.159	transcription regulator	 	0	 	0.0000416	"ADGRL3,ANXA1,CAMK2B,CDH1,CDH8,DLX5,EFNB3,GRIN2A,IGF2,NECTIN1,NGFR,NTRK2,PCDH10,PDGFRB,PLP1,PLXNB1,PROM1,SCN2A,SEMA3D,SRPX2,TGFB2"	260 (7)
DNAJB6	0.156	transcription regulator	 	 	 	0.0486	"SNAI2,SPARC,SPP1"	 
FGFR2	0.155	kinase	 	-0.321	 	2.79E-08	"B4GALNT4,CA4,CCN4,CCN5,CDH1,CDH11,CDKN1A,FGF10,FN1,FOXQ1,GPR27,IGF2,LAMA1,LGR5,NOSTRIN,NOTCH1,PCOLCE,PITX2,PLP1,PTH1R,SFRP1,SNAI1,SPP1,TSPAN8"	439 (20)
PLAUR	0.153	transmembrane receptor	 	0.501	bias	0.0146	"CDH1,ITGB3,MMP2,MMP9,SCN2A,SNAI1"	 
CEP290	0.15	transcription regulator	 	 	 	0.0494	GLI3	 
CEBPD	0.148	transcription regulator	 	0.775	bias	0.0111	"AGT,BIRC5,CCL20,CCNB1,CDKN1A,CTSV,CYP19A1,HP,MIA,NGF,SNAI2"	 
SMARCE1	0.144	transcription regulator	 	 	 	0.018	"CCNB1,CDK1,L1CAM,SCN2A"	 
EDN1	0.142	cytokine	Activated	2.791	bias	0.00489	"ANXA1,CDH1,CDK1,COL7A1,COMP,EDN3,EDNRA,FN1,ITGA2,ITGB3,LEPR,MCAM,MMP2,MMP7,MMP9,SDC1,SERPINB2,TTN,VCAN"	450 (23)
IKBKB	0.142	kinase	 	1.913	bias	0.0000437	"AEBP1,CCL20,CCNA2,CDH1,CDH13,CDKN1A,CLDN1,CP,CX3CL1,CXCL12,CYP1B1,DCN,FGF10,IGFBP2,IGFBP7,ITGB3,LCN2,MMP2,MMP9,NGF,NID1,OGN,POSTN,SERPINB2,SFRP1,SNAI1,SOD3,TIMP2,TNFRSF9,TP63,VCAN"	397 (16)
MTPN	0.136	transcription regulator	 	1.497	bias	0.0000445	"ANXA1,APOD,CCNA2,CCNB1,CDK1,COL8A1,CP,FBLN1,FN1,PLAT,SPARC,SPP1,TGFB2,TGFB3"	272 (7)
UBN1	0.129	transcription regulator	 	 	 	0.0494	CCNA2	 
OLR1	0.125	transmembrane receptor	 	0.64	bias	0.0299	"FN1,HAS3,NOX4,RXRG,SELP,SPP1"	 
MAP3K20	0.124	kinase	 	 	 	0.0494	SOX6	 
ZNF750	0.119	transcription regulator	 	 	 	0.022	"LAMC2,TINCR"	 
IL10	0.115	cytokine	 	1.924	 	0.027	"CAMP,CCL18,CCL20,CCL22,CCR5,CDH13,CDKN1A,CHI3L2,CIT,CTSV,CX3CR1,CXCL12,CXCL9,DCN,EHF,IDO1,IGFBP4,IL13RA2,LZTS1,MMP2,MMP9,MYBL2,NT5E,PLA2G2A,RARRES1,SERPINB2,SLC6A4,TWIST2,VCAN,VTCN1"	 
IL17RA	0.106	transmembrane receptor	 	1.406	bias	0.0218	"CCL20,CCL28,CXCL12,MMP9,SELP"	 
EP300	0.106	transcription regulator	 	1.413	bias	0.00362	"AGT,AMPD1,AXIN2,BIRC5,CA12,CAMK2B,CDKN1A,CORO2B,CRABP2,DUSP4,EDARADD,EGR2,FN1,FTH1,H4C6,HSD11B2,IRF6,KCTD1,LAMC2,MIA,MMP11,MMP7,NKX3-1,NOTCH1,PDE10A,PDGFRB,PDK4,PPM1E,SDC1,SERPINB5,SMAD6,TGFB2,TMPRSS4,TP53AIP1,XIST"	379 (21)
DCAF1	0.101	kinase	 	-1.172	bias	0.00802	"CCN3,CCNB1,CDKN1A,NKX3-1,PTGES"	249 (6)
ARID1A	0.099	transcription regulator	 	1.281	bias	0.00363	"ALPL,ANXA1,AXIN2,CDKN1A,FZD1,SOX9"	192 (7)
SIX5	0.099	transcription regulator	Activated	2.449	bias	0.000891	"COL9A2,IGF2,MDFI,PTN,SFRP2,TWIST2"	 
JUN	0.098	transcription regulator	 	1.616	bias	9.21E-08	"A2M,ANXA1,CA3,CAMP,CCL20,CCN3,CCNA2,CDH1,CDK1,CDKN1A,CMTM5,CX3CL1,CYP19A1,CYP1B1,E2F7,FABP7,FN1,FRZB,FTH1,GPT,IGFBP2,IGFBP4,IGFBP7,IL1RL1,KRT15,LAMB3,LBP,LGR5,MMP12,MMP2,MMP7,MMP9,NCAM1,NGF,NRCAM,OXTR,PKIB,PTGES,PTPRD,SAA1,SDC1,SERPINB2,SERPINB5,SLC6A6,SNAI2,SPARC,SPP1,SULF2,TNFSF15,TP53AIP1,TP73,VDR,ZNF385A"	467 (19)
RB1	0.095	transcription regulator	 	1.773	 	0.0552	"ALPL,ASPN,BIRC5,CCNA2,CCNB1,CDH1,CDK1,CDKN1A,COX14,CPA4,E2F7,EDNRA,FN1,GLI2,GPR27,GPR83,H1-5,H2AC8,H2BC11,HUNK,KIT,KRT5,LGR5,MMP2,MYBL2,NDUFA2,PROM1,SLC22A18AS,TGFB2,TNNI2,TP63,TP73"	 
CHEK2	0.092	kinase	 	 	 	0.0415	"BIRC5,CDKN1A,TP73"	 
LATS1	0.092	kinase	 	-1.912	bias	0.00026	"CCNB1,CDH1,CYP24A1,EPCAM,KIT,KRT19,LTF"	283 (7)
SMARCA2	0.091	transcription regulator	 	1.48	bias	0.00665	"ALPL,CDH1,COL7A1,CP,LAMC2,PHEX,SCGB2A2,TBX2,VDR"	247 (7)
HTATIP2	0.09	transcription regulator	 	 	 	0.000697	"ADGRB1,CDH1,MMP2,SNAI1,SPARC,SPP1"	369 (19)
FOXO1	0.086	transcription regulator	 	0.665	bias	0.0128	"A2M,BIRC5,CCL20,CCN3,CCNA2,CCNB1,CDK1,CDKN1A,COMP,CTSV,DCX,EGR2,FBXO32,FMOD,FN1,GATA2,GPX3,IGFBP7,ITGA3,ITGB6,JAG1,KLF2,MMP9,NCAPG,NKX3-1,PDK4,PLA2G2D,RIPOR2,SEMA6D,SERPINB2,SERPINB5,SOX9,SPC25,TNFRSF9"	 
GSK3B	0.084	kinase	 	-0.325	 	0.00726	"BIRC5,CDH11,CDKN1A,CTNND2,LCN2,MMP9,PMP22,RND2,SELP,SNAI1,SNAI2,SPP1,TP63"	409 (22)
BCR	0.082	kinase	 	 	 	0.029	"CCL20,DSG1,GPT"	 
SS18	0.081	transcription regulator	Activated	2.828	bias	0.000302	"CACNA1G,CAMK2B,CRLF1,EPHB3,HES4,IGF2,JAG2,NGFR"	 
MEF2C	0.08	transcription regulator	 	1.145	bias	0.000873	"CASQ2,CCR5,CDKN1A,ECM2,EGR2,FRZB,KCNA5,KLF2,MMP12,PLA2G2A,POSTN,PTH1R,SFRP2,THEM5,TNNI2,TTN"	22 (2)
WNT5A	0.079	cytokine	 	0.887	 	0.00497	"AXIN2,CDH1,CXCL12,CYP19A1,FN1,KIT,LAMB3,MMP7,PGF,ROR2,SDC1,SNAI1,SPARC,SPP1"	394 (19)
JUNB	0.075	transcription regulator	 	0.978	bias	0.00328	"CCL20,COL7A1,CYP19A1,CYP1B1,E2F7,FN1,FTH1,IL1RL1,ITGB3,LAMB3,LCN2,MMP2,MMP9,SERPINB2,SNAI1,SNAI2"	413 (19)
MRTFA	0.074	transcription regulator	 	0.095	 	0.000691	"CAMP,CCN5,CMA1,CPA3,CXCL12,DSG1,EGR3,FIBIN,LCN2,LINC00968,LTF,MMP16,MMP9,MOGAT2,MYOCD,SELP,SERPINB2,SLC6A4,TGFB2,WTIP"	95 (4)
STK24	0.072	kinase	 	 	 	0.0494	CDH1	 
ELK1	0.072	transcription regulator	 	0.109	bias	0.0301	"CDKN1A,EGR2,ITGB6,MMP9,MUC4,SNAI1,SPP1"	 
ACVR1	0.065	kinase	 	 	 	0.00000687	"ALPL,BRINP3,CCN3,CDKN1A,DCN,DLX5,EDIL3,OGN,SRPX2,SUSD5,XIST"	167 (7)
RELA	0.064	transcription regulator	 	1.885	bias	0.0000343	"A2M,AGT,BIRC5,CAMP,CCL20,CCL22,CDH1,CDKN1A,CFB,CX3CL1,CXCL9,CYP19A1,EHF,ELN,EPCAM,FGF10,FMN2,FN1,GDF15,GLI2,GSTA1,IGFBP2,KIT,KRT15,LGR5,LUM,MIA,MMP7,MMP9,MST1R,NOTCH1,P2RY2,PI3,PLK3,PTGES,SAA1,SAA2,SCN2A,SELP,SNAI1,SOX9,TP63,TP73,TWIST2"	422 (17)
HMGN5	0.062	transcription regulator	 	 	 	0.0494	CCNB1	 
SMAD2	0.062	transcription regulator	Activated	2.212	bias	0.000862	"BGN,CCL20,CDH1,CDKN1A,FN1,FSTL3,FURIN,IRX1,MMP2,MMP9,MUC4,SNAI1,SNAI2"	407 (20)
GIT1	0.059	kinase	 	 	 	0.0137	"MMP2,MMP9"	 
CREBBP	0.056	transcription regulator	 	1.247	bias	0.000151	"ADCYAP1,AGT,AMPD1,BIRC5,BMP7,CAMK2B,CCR5,CDH1,CDKN1A,CORO2B,CXCL12,CXCL9,CYP24A1,DCX,DUSP4,EDARADD,EGR2,EGR3,FGFR3,GRIN2A,GRIN2C,IRF6,KCTD1,KLF2,MIA,MMP11,MMP9,NOTCH1,PDE10A,PDE3B,PDGFRB,PPM1E,SDC1,SELP,SLC18A2,TMPRSS4,XIST"	340 (21)
ZBTB48	0.055	transcription regulator	 	-1.134	bias	0.000648	"RNF150,SHISA9,SNORA54,SNORA71D,SNORD3A,SPP1,TMEM63C"	 
MKNK1	0.052	kinase	Activated	3.162	bias	0.0274	"AGRN,CP,GNAO1,KIF5A,LCN2,NRXN1,SFRP1,SNAP25,SPARC,VSNL1"	 
LRP5	0.047	transmembrane receptor	 	 	 	0.0218	"ALDH1A2,AXIN2,IDO1,IGF2,NKD2"	 
MYC	0.046	transcription regulator	 	0.501	bias	0.00389	"ACAN,BIRC5,BUB1,CCN4,CCNA2,CCNB1,CDH1,CDK1,CDKN1A,CHEK1,COL5A2,COL6A3,COL8A1,CRABP2,CTSV,CXCL9,DSP,DUSP4,ECM1,EGR2,EPCAM,EPHB3,FBXO32,FGF10,FGFR1,FMOD,FN1,FRZB,FTH1,GPC1,GPC3,GPT,H19,HSD11B2,HSPB1,IER5,IFI27,IFI44L,IFI6,IRF6,ITGA3,JAG2,KLK6,KRT6B,LAMB3,LGR5,LOX,LRRN1,LUM,MMP7,MMP9,NCAM1,NGF,NRP1,PDGFRB,PITX2,PLP1,PMP22,PRKACB,PROM1,PTN,RARRES1,RPL39,SCEL,SFRP1,SLC16A7,SNAI1,SOX6,SOX9,SPARC,SPP1,TGFB2,THBS2,THY1,TIMP2,TINCR,TNNT3,TP73,TWIST2,WNT7B,XIST"	406 (23)
TAF4	0.042	transcription regulator	 	-0.347	bias	0.00000362	"CDH1,CDH11,CDH3,CLDN1,COL6A3,DCN,EHF,FMOD,KRT6B,LUM,MMP2,OLFML3,PTN,SFRP2,SPP1,TGFB3,THBS2"	 
SP3	0.041	transcription regulator	 	0.806	bias	0.0395	"AEBP1,BIRC5,CCL20,CDKN1A,COL7A1,FGF10,GDF15,HSD11B2,IGF2,ITGA2,KRT81,LAMA1,MMP2,MUC4,NES,SPARC,TIMP2"	 
OXSR1	0.037	kinase	 	 	 	0.032	"LHX8,SLC12A2"	 
ERBB4	0.034	kinase	 	-0.512	 	0.00363	"CCN5,CDH1,CDKN1A,COL5A2,CXCL12,FGF7,GPC1,IGF2,IGFBP4,NID1,SFRP1"	415 (21)
AKT2	0.029	kinase	 	0.937	 	0.0164	"BUB1,CDH1,CDKN1A,IGF2,MMP9,SEMA6D,SLC5A5"	 
MAP2K5	0.028	kinase	 	-0.152	bias	0.0247	"CYP24A1,KLF2,MMP9,MUC5B"	 
TEAD1	0.028	transcription regulator	 	1.661	bias	0.000599	"BBOX1,CDKN1A,COL5A2,EDNRA,FIBIN,FJX1,LOXL1,MSLN,NRXN2,POSTN,TP63"	 
IL6R	0.027	transmembrane receptor	 	1.961	bias	0.00972	"A2M,CCL20,CDKN1A,FN1,HP,IGF2,LCN2,MMP2,MMP9,SAA1"	366 (19)
SNAI3	0.025	transcription regulator	 	 	 	0.0494	CDH1	 
CNR1	0.025	G-protein coupled receptor	Activated	2.853	bias	0.00577	"ADORA1,ALPL,BIRC5,BMP7,CDK1,DDX25,FGF10,HEY2,KLK7,KRT6B,LAMA1,MDK,PDGFRB,RXRG,SOX6"	114 (4)
SPDEF	0.021	transcription regulator	Inhibited	-2.053	bias	0.0000282	"CDH11,CDKN1A,COL16A1,COL4A5,COL4A6,COL5A2,COL6A3,DKK3,FGFR1,ITGA3,SDC1,SERPINB5,SNAI2"	138 (7)
INHA	0.02	growth factor	 	0.358	 	0.0000146	"BOC,CCN4,COL4A5,COL4A6,COMP,CYP19A1,CYP1B1,CYP26B1,FGFR1,GJC1,IGFBP4,ITGA3,KIT,KRT19,LAMC3,MMP2,SFRP4"	 
CBX1	0.019	transcription regulator	 	 	 	0.00557	"BIRC5,CDKN1A,ITGA7"	326 (14)
MAPK3	0.016	kinase	 	0.443	bias	0.0105	"CDKN1A,CYP24A1,DUSP4,EGR2,FN1,FURIN,HDC,MMP9,PTGES,SPP1"	 
RET	0.014	kinase	 	0.342	bias	0.00147	"ANXA1,CCL20,CCN3,CTSV,CXCL12,DCN,LOX,MMP7,MMP9,NTRK1,PHEX,PTN,STMN2,VIP"	421 (22)
ZNF429	0.01	transcription regulator	 	 	 	0.00361	"ENPP5,POSTN,TGFB3"	 
ABL1	0.005	kinase	 	1.98	bias	0.00312	"CCNA2,CDKN1A,TGFB2,TGFB3,TP63,TP73,VIP"	356 (20)
ROCK2	0.003	kinase	 	1.89	bias	0.0121	"DSG1,DSG3,DSP,PI3,SCEL,SPINK5,SPP1"	 
EHMT2	-0.003	transcription regulator	 	0.97	 	0.00058	"BIRC5,CDH1,CDKN1A,CXCL12,FN1,HSD11B2,PKIB,SCNN1A,STMN2"	354 (17)
SPIB	-0.007	transcription regulator	Activated	2.333	bias	0.0225	"CCR5,CD300C,EGR2,EPCAM,KIT,LGR5,NRXN2,RAD51B,TENM4"	 
EOMES	-0.008	transcription regulator	 	-0.796	 	0.0000877	"ADCYAP1,ANXA1,BHLHE22,CDH8,COL6A3,DUSP4,FREM1,FRZB,H19,ITGA2,MEOX1,MXRA5,PCDH19,PLXNA4,PMP22,SLC39A2"	 
STAT1	-0.012	transcription regulator	Activated	2.585	bias	0.00913	"A2M,AGT,BIRC5,C1S,CCL20,CDKN1A,CFB,CX3CL1,CX3CR1,CXCL9,EGLN3,FGF7,FURIN,GBP6,HTRA1,IDO1,IFI27,IFI44L,IFI6,LCN2,LY6E,MMP9,MUC4,NOX4,PDGFRB,PTN,SAA2,SERPING1,SOAT1"	367 (15)
CKS1B	-0.012	kinase	 	 	 	0.00361	"CCNA2,CCNB1,CDK1"	334 (13)
HDAC2	-0.023	transcription regulator	 	-1.153	 	0.00785	"ACAN,CDH1,CDKN1A,COMP,KRT15,LGR5,MMP9,OLFM4,SCN2A,SFRP1,SOX9,STMN2,TNNI2,TP63"	367 (22)
MECOM	-0.024	transcription regulator	 	1.231	bias	0.000648	"CA3,CDKN1A,DCN,GATA2,ITGB3,SOX9,SPARC"	 
PRKAA1	-0.027	kinase	 	-0.351	bias	0.000442	"ASTN1,CDH3,CDKN1A,CXCL12,DLGAP2,EGLN3,FN1,GALM,GSTA1,IGFBP4,MMP16,MMP9,PAK5,PCOLCE,PLA2G2A,PRKACB,TNFSF15,TTYH1"	404 (20)
HTT	-0.032	transcription regulator	Activated	3.597	 	1.67E-09	"ADAM23,AGRN,AGT,AMACR,ATP8A1,CA12,CA4,CAMK2B,CCN4,CDH11,CDH8,CDKN1A,CHRNB2,CIT,CLDN1,COL16A1,COL18A1,COL6A3,CORO2B,CSN3,CX3CL1,DCN,DKK3,DLG4,ECRG4,EGR2,ELAVL4,FABP7,FGF1,FGFR1,FHL1,FN1,GAS7,GJC1,GNAO1,GPC1,GPX3,GRIN2A,GRIN2C,HAP1,HUNK,IGF2,KCNJ12,KCNK2,KL,LOX,LTBP2,LTF,MCAM,MFAP4,MMP2,NGFR,NR2F1,NTRK1,NTRK2,PDE10A,PDE1B,PRELP,PRKACB,PROM1,RGS4,RXRG,SERPINF1,SERPING1,SFRP1,SLC12A2,SNAP25,SPP1,TFAP2C,THBS2,TNNI2,TNNT3,USP2,VIP,VSNL1"	406 (18)
CTCF	-0.034	transcription regulator	 	-0.196	 	0.000947	"CDH1,CDKN1A,H19,IGF2,LHX8,MDK,MUC5B,NCAM1,PCDHAC2,PCDHB16,PCDHB2,PCDHB7,RIN1,TGFB3,TSIX,XIST"	165 (7)
ZNF217	-0.037	transcription regulator	Inhibited	-2.449	bias	0.0123	"AGR2,COL8A1,KCNK2,LYPD1,MPZL2,NLGN1,PLAT,SHC4,VSNL1"	 
SP1	-0.04	transcription regulator	Activated	3.4	bias	0.000000393	"AEBP1,ALPL,BIRC5,BMP7,CAMP,CCL20,CCL22,CCNA2,CDH1,CDK1,CDKN1A,COL7A1,COL8A1,CRABP2,CXCL12,CYP19A1,CYP1B1,FGF10,FGFR1,FN1,GDF15,HDC,HSD11B2,ID4,IGF2,IGFBP4,ITGA2,ITGB3,KIT,KRT19,KRT81,LAMA1,MMP11,MMP2,MMP9,MST1R,MUC4,MUC5B,MYBL2,NES,NGFR,NOX4,NTRK1,PDGFRB,PROM1,PTH1R,PTN,SNAP25,SOAT1,SOX9,SPARC,SPP1,TGFB2,TIMP2,TINCR,TP73,VDR"	437 (24)
YBX1	-0.042	transcription regulator	Activated	2.2	bias	0.00709	"CDKN1A,CYP19A1,DCLK3,FGFR1,HES2,MMP2,PAPPA,RIN1,SNAI1,SPON1,USP2"	418 (22)
EHMT1	-0.042	transcription regulator	Activated	3.729	bias	0.000158	"ANPEP,CDH1,CDKN1A,CILP,CP,EDN3,HES2,HSD11B2,ITGA3,LCN2,MSLN,RARRES1,SCNN1A,SLC4A11,SYNC"	18 (2)
MAPK8	-0.044	kinase	 	-0.647	bias	0.0113	"APOD,CCNA2,CDH1,CDKN1A,CYP19A1,DUSP4,FTH1,MMP2,MMP7,MMP9,MUC5B,NOX4,NRP1,PTGES,RGS4,VDR"	 
MAP3K3	-0.047	kinase	 	 	 	0.0285	"POSTN,SNAI2,TGFB2,TGFB3"	 
RBM14	-0.047	transcription regulator	 	 	 	0.022	"HTRA1,SOX6"	 
AKT1	-0.047	kinase	 	0.559	bias	0.0000007	"BIRC5,CDH1,CDKN1A,COL8A1,CTSV,DLG4,FBXO32,FN1,GDF15,HUNK,IGF2,KLF15,LAMA1,LCN2,MMP2,MMP9,MSTN,MYOCD,NOTCH1,NOX4,PCOLCE,PDGFRB,PLP1,PROM1,SEMA6D,SERPINF1,SLC5A5,SNAI1,SNAI2,SPP1,TGFB2,THBS2,TP63,TP73,UNC5B,VCAN"	412 (23)
RBBP7	-0.05	transcription regulator	 	 	 	0.00295	"CDH1,CPA3,GATA2,KIT"	187 (6)
