Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
TCF4	0.251	transcription regulator	 	1.23	 	0.000969	"AEN,ARHGEF6,BMP7,CCN5,CCND1,CDH17,CDKN3,DACH1,DNAJC12,DPT,ESCO2,EYA1,FAS,FGF1,GLI1,GMPR,HSD11B1,IGF2,IGFBP2,IGFBP4,INHBA,ITGA3,ITGB3,JAG1,LAMC2,LRP1,MIA,NANOS1,NGFR,NOTCH1,POMC,SERPINF1,SNAI2,SPC25,VASH2,ZNF467,ZP2"	397 (17)
PPRC1	0.392	transcription regulator	 	1.406	bias	0.000883	"CCL20,DDIT4,GDF15,LAMB3,LCN2,MYCT1,PHLDA1,RND3,TMEM154"	 
ZBTB33	-0.026	transcription regulator	Activated	2	 	0.000831	"BAX,BBC3,FAS,MMP7,TNFRSF10A"	 
MED15	0.342	transcription regulator	Activated	2	bias	0.000827	"BAX,BBC3,CCND1,S100A2"	 
EFNA4	0.149	kinase	 	0	 	0.00152	"CRABP2,DSG1,DUSP4,ETV5,ITGB6,KLK7,PKP1,PLAT"	 
NFIX	0.07	transcription regulator	 	1.08	 	0.000823	"ALAS1,CCND1,CLEC3B,GFAP,POSTN,SPARCL1"	 
DCAF1	0.148	kinase	 	-1.98	bias	0.0477	"CCN3,PTGES,SOCS2,TGM2"	 
TLR7	0.147	transmembrane receptor	 	0.963	bias	0.0128	"BMX,CCL20,CCND1,CFH,CPA4,DIO2,ETV4,ETV5,FGF2,GNG2,IFIT3,IL1B,INPP5D,ISG15,MX1,PLAT,PTCHD1,RP1,SPRY4,TMEM154"	 
KLF2	1.203	transcription regulator	 	-1.178	 	0.000761	"ADM,CAV1,COL4A1,ELN,F3,FBLN1,FGR,GADD45A,HYAL2,IGF2,IL1B,ITGB3,LBP,LEPR,MMP14,NOTCH1,PGF,PTGDS,TBX21,TFPI,VWF"	363 (13)
TGFA	0.131	growth factor	Activated	2.504	bias	0.000106	"CCL20,CCND1,FGF7,GFAP,IGFBP4,LAMC2,LCN2,NES,PLA2G4A,PLAT,PRNP,S100A10,SERPINB5,WNT5A"	466 (19)
SATB2	-0.99	transcription regulator	 	-1.698	 	0.000753	"BAX,BBC3,BHLHE22,CDH3,MDM2,MFAP2,MMP16,NNMT,PDE3A"	286 (7)
BCL6	-0.614	transcription regulator	 	-1.394	 	0.000752	"A2M,ACAN,BAX,BMP2,C1QTNF12,CCND1,CCND2,CHEK1,CTSK,DPYSL2,FAS,FGF2,GADD45A,GLI1,GOLM1,GSTM5,HDAC9,IL1B,ITGA3,PLA2G4A,PRSS23,SDC1,SH2D4A,SOCS2,TBX21"	348 (16)
CEBPA	0.333	transcription regulator	 	1.483	 	0.000709	"A2M,ABCB1,ADH1C,AKAP12,AKR1C1/AKR1C2,AKR1C3,ANPEP,CAMP,CCL20,CCND1,CCND2,CRABP2,CTSK,EPHA7,FHL1,FZD1,GADD45A,GJA1,GLI1,HSD11B1,IFI27,IFI6,IGFBP4,ISG15,LCN2,LEPR,LGALS1,LTF,MMRN1,NRP1,OXTR,RARRES2,RIN1,SAA1,SERPINB2,SERPINB5,SERPINF1,THRB,TIAM1,TNFRSF10A,TSC22D3"	431 (18)
STK4	0.121	kinase	 	 	 	0.0368	"FAS,GPT,IL1B,MMP2"	 
ACKR3	0.121	G-protein coupled receptor	 	 	 	0.0000241	"ADM,AKR1C3,CCND1,CFH,CXCL12,ELN,IGFBP7,MMP14,VWF"	410 (17)
IL17RA	0.102	transmembrane receptor	 	1.526	bias	0.0296	"CCL20,CCL28,CXCL12,IL1B,SELP"	 
KDM3A	0.049	transcription regulator	Activated	2.183	bias	0.00063	"ADM,AJUBA,ARHGEF28,CCND1,FSTL3,GDF15,GNG2,MCAM"	 
BMP4	0.093	growth factor	 	1.884	bias	0.0000011	"ABCG2,ACAN,ALDH1A2,BARX1,BMP2,CCND1,DEPP1,DIO2,DIO3,GABRP,GJA1,ITGB6,KIT,L1CAM,LAMA1,MMP14,NES,NGFR,PGF,POMC,POSTN,SNAI2,SOX2,SPARC,TBX15,TBX3,TFAP2C,TGM2,TP63,WNT5A"	400 (19)
PITX2	-1.543	transcription regulator	 	0.521	bias	0.000628	"ADH1C,CCND1,CCND2,COL8A1,DACH1,DACT2,GADD45A,KCNK2,KCTD1,MSC,NGFR,POMC,SHOX2,SOX2,TBX15,TBX3,WNT5A"	380 (10)
PLAG1	-0.766	transcription regulator	Activated	2.554	bias	0.000598	"CRLF1,ETV4,IGF2,KRT19,LSP1,QSOX1,S100A2,TGM2,TNNT3,TPSAB1/TPSB2"	 
ZNF24	-0.184	transcription regulator	 	 	 	0.000587	"CCND2,CDKN3,MMP2"	 
MKNK1	0.076	kinase	 	1.897	bias	0.0438	"GNAO1,ISG15,LAMC1,LCN2,MAPT,PLTP,SFRP1,SPARC,SYN2,VSNL1"	 
SP3	0.124	transcription regulator	 	-0.484	bias	0.000578	"ABCB1,AEBP1,AKAP12,ALOX12,ALOX15B,CCL20,CCND1,CES1,COL7A1,F2R,F3,FAS,FGF10,GDF15,IGF2,IL12RB2,ITGA2,LAMA1,MMP2,NES,PGR,SLC9A3,SPARC,TIMP2"	403 (11)
JAK2	0.068	kinase	 	1.475	bias	0.000068	"AKAP12,AKR1C3,BAX,BBC3,BMP7,CALCB,CCND1,CCND2,F5,FGF2,GFAP,GFRA2,IL1B,ITGA5,LCN2,LY6E,PDE2A,PHLDA3,SELP,SLC1A3,TGM2"	379 (18)
NOTCH1	1.348	transcription regulator	 	0.657	 	0.000541	"AKR1C1/AKR1C2,BMP2,CCND1,CCND2,FABP7,FGF2,GATD3A/GATD3B,GFAP,GLI1,HBA1/HBA2,HEYL,HSPH1,IGFBP2,IGFBP4,JAG1,LFNG,LOX,MCAM,MMP2,NGFR,NOTCH1,NRG1,PTGDS,RND3,TEK,TFF3,TP63,WNT5A"	446 (18)
CCND1	1.098	transcription regulator	 	0.382	 	0.000534	"ALDH1A3,C7,CCND1,CCND2,CLSPN,COL20A1,COL5A2,CST4,DHCR24,DKK2,ESCO2,FAM83D,FGF7,FGFR1,GPC6,HSPB1,ITGB3,ITGB6,MMP2,NOTCH1,PDLIM4,PGR,PMEPA1,PPFIA2,RAD51,RBMS3,SLC9B2,SOX2,SOX4,SPC25,ST6GALNAC1,STOM,TIAM1"	441 (18)
KLF11	-0.112	transcription regulator	 	0.891	 	0.000525	"BMP7,CAV1,DCN,DIO2,IL1B,ITGA2,ITGA3,ITGB3,ITGB6,LOX,MMP14,MMP2,PLA2G4A,PLAT,TIMP2,TIMP3,TSHR"	 
MST1	0.066	growth factor	 	-1.982	 	0.0477	"CCND1,FAS,GPC3,SOX4"	 
NKX3-1	-0.456	transcription regulator	 	 	 	0.000514	"CA12,CA3,CA8,CTSB,CTSV,FES,RAMP1,SDC1,SOAT1,SOX4"	 
PRKAA1	0.055	kinase	 	-0.229	 	0.000422	"BAX,CDH3,CHGB,CXCL12,ELOVL2,EPHA3,GALM,GSTA1,IGFBP4,ITIH5,MATN2,MGST1,MMP16,PMEPA1,PRKACB,RND3,TGM2,TNFSF15,TTYH1"	363 (11)
SEMA7A	0.053	transmembrane receptor	 	1.89	bias	0.000142	"BAX,CCN3,CCN4,CCN5,CTSB,ELN,FGF2"	 
LRP5	0.033	transmembrane receptor	 	0.135	 	0.0296	"ALDH1A2,FOXA1,IGF2,IL1B,SLC38A5"	 
PDGFC	0.032	growth factor	Activated	2.224	bias	0.000823	"CCND1,COL4A2,FGF2,GFAP,TEK,TIMP2"	180 (7)
KDR	0.028	kinase	Activated	2	bias	0.0032	"A2M,EPHB3,F3,INPP5D,MMP14,NOTCH1,SFRP1,SNAI2"	308 (17)
NFKB1	0.167	transcription regulator	Activated	2.05	bias	0.000447	"A2M,ABCB1,ADORA1,APOE,BAX,BMP2,CCL20,CCND1,CCND2,CFB,CFTR,CTSB,CX3CL1,FAS,FSCN1,GADD45A,GJA1,GNAO1,IL1B,ISG15,JAG1,KRT6B,LGALS1,MDM2,MMP7,PI3,SELP,TBX21,TNFSF15"	419 (11)
IKBKB	0.028	kinase	Activated	3.93	bias	3.75E-09	"AEBP1,BAX,BMP2,CCL20,CCND1,CDH13,CTSB,CTSK,CX3CL1,CXCL12,DCN,F3,FAS,FGF10,FSCN1,GADD45A,GLI1,IGFBP2,IGFBP6,IGFBP7,IL1B,ISG15,ITGB3,LCN2,MDM2,MMP2,MX1,NID1,OGN,PLA2G4A,POSTN,PTPN13,SEMA3C,SERPINB2,SFRP1,SOCS2,SOD3,TIMP2,TIMP3,TMEM176B,TNFSF8,TP63"	423 (14)
ALK	0.026	kinase	 	 	 	0.00692	"CCND2,GLI1,NTRK2,SOX2"	216 (7)
MTPN	0.447	transcription regulator	Activated	3.563	bias	0.000393	"APOD,BAX,CCND1,CCND2,COL8A1,FAS,FBLN1,PLAT,S100A10,S100A6,SOX2,SPARC,TUBA1A"	295 (9)
EHMT1	0.102	transcription regulator	Activated	3.873	bias	0.000376	"A4GALT,ANPEP,CORO2A,GFOD1,HES2,ITGA3,LCN2,MGST1,MMP28,MSLN,PLPP1,PRR15L,SCARA5,SLC4A11,SYNC"	 
STAT1	0.298	transcription regulator	Activated	3.002	bias	0.00037	"A2M,ALAS2,ALDH1A3,APOE,BAX,BST2,C1QTNF7,C1R,C1S,CCL20,CCND1,CCND2,CFB,CX3CL1,FAS,FGF2,FGF7,GBP6,IFI27,IFI6,IFIT3,IL12RB2,IL1B,ISG15,KCTD12,LCN2,LY6E,MDM2,MX1,POMC,S100A10,SAA2,SAMHD1,SOAT1,TBX21,TRIM22"	372 (12)
MYCN	-0.594	transcription regulator	Inhibited	-2.238	 	0.000369	"ABCB1,ABCC1,ABCG2,BAX,CAV1,CCND1,CCND2,COL18A1,COL4A1,COL5A2,COL8A1,DKK3,EIF3C,IGFBP7,INHBA,ITGA2,ITGA3,LGALS1,MDM2,MMP2,MRC2,MSRB3,NGFR,S100A10,SLIT3,SPARC,TGM2,TIMP2,UCHL1,ZFAND5"	408 (19)
SMARCB1	0.059	transcription regulator	 	1.277	bias	0.000358	"A2M,ABCB1,CA8,CCND1,COL14A1,COL18A1,COL5A2,CYP4F8,DACH1,FAS,GADD45A,GJA1,GSN,IGFBP2,LBP,MDM2,MX1,POSTN,RND3,SPARC,TBX21"	458 (20)
HIC1	0.767	transcription regulator	 	-1.554	 	0.000348	"ADORA2B,CA12,CCN3,CCND1,CDO1,CXCL14,CYP24A1,INHBA,LCN2,MCAM,PLA2G4A"	218 (7)
CD80	0.02	transmembrane receptor	 	 	 	0.0458	"BAX,FAS,IL1B,TBX21,TSC22D3"	 
SIRT1	-0.161	transcription regulator	 	-1.144	 	0.000343	"ABCB1,ABCC2,ACAN,BAX,BBC3,CA12,CAV1,CCND1,CCND2,CNR1,FAS,FGF10,FGF7,FGFR1,GADD45A,GBP6,GLI1,IFIT3,IL1B,LAMA2,LAMB1,LTBP2,LY6E,MAPT,MMP2,MTHFD1L,NEGR1,NLGN1,NTRK2,PCSK2,SCGN,SDS,SFRP2,SFRP4,SOD3,TFPI,TIMP2,TIMP3,TMPRSS4"	446 (17)
POU2F2	-0.245	transcription regulator	 	1.941	bias	0.000328	"BBC3,DACT3,DEPP1,FJX1,GATM,LRRC32,LY6E,PFKFB4,PLEKHG1,SSTR2,SYDE2,TIMP2,TNFRSF21,ZDHHC23"	 
TEAD2	0.103	transcription regulator	Activated	2.121	bias	0.000317	"ADM,BBOX1,CCND1,COL5A2,FIBIN,FJX1,LOXL1,POSTN,RAD51,TP63"	 
MRTFA	0.11	transcription regulator	 	-0.258	 	0.000302	"CAMP,CAVIN2,CCN5,CMA1,CPA3,CXCL12,DHCR24,DSG1,F2R,FIBIN,GADD45A,GAS2,GSTM5,ITGA5,LCN2,LTF,MMP16,PGR,RAMP1,SELP,SERPINB2,WTIP"	 
TRPS1	0.606	transcription regulator	 	-0.565	 	0.000268	"ALPL,BMP2,MMP2,PHOSPHO1,RAMP1,RANBP3L,SEMA6A,SNAI2,SOX2,SPC25"	 
EBF2	0.799	transcription regulator	 	1.59	bias	0.000253	"ADAMTS15,ADCY3,DIO2,MEOX1,QPRT,SFRP4,THBS4"	 
MAP2K1	0.013	kinase	Activated	2.33	bias	0.0000151	"ABCB1,ABCC1,ACAN,APOE,CALCB,CCND1,CTSB,ETV5,F2R,F3,FGF2,ITGA5,ITGB3,MMP14,MMP2,MUC5B,OLFM4,PLA2G4A,PLP1,PMP2,PTPN13,RAP1GAP,RRAGD,SNAI2,TGM2,TNFRSF10A"	453 (21)
IKZF1	0.102	transcription regulator	Inhibited	-2.811	bias	0.000211	"AJUBA,ALAS2,ANTXR1,CAV1,CAV2,CCND2,DEPP1,FGFR1,GAS6-DT,HHATL,IFI27,IFI6,IFIT3,KIT,LRP1,MMP14,NGFR,NOTCH1,POMC,PRNP,PTH1R,PYGL,RAPGEF4,RGS13,SCN9A,TBX21,TMEM119,VWF"	383 (10)
EGR1	0.253	transcription regulator	Activated	2.566	bias	0.000202	"ABCB1,BAX,CAV1,CAVIN1,CCND1,CCND2,CHGB,DLG4,DUSP4,F3,FAS,FGF2,GADD45A,GDF15,GLI1,IGF2,IL1B,MMP14,PCSK2,PTGES,SLC12A2,SNAI2,TIAM1"	451 (20)
NME1	0.01	kinase	 	-0.946	 	0.00208	"BAX,CCND1,FZD1,L1CAM,MMP14,MMP2,PGR,SMO"	387 (19)
LDB1	0.119	transcription regulator	 	1.543	 	0.000177	"BBC3,BMP7,CCND2,CDH13,COL18A1,CPA3,DACT3,F2R,FBLN1,FES,FRZB,GIMAP8,GJA1,GOLM1,GPR34,GRASP,GSN,KCTD17,KIT,LGALS1,LSP1,MDK,MFGE8,PLA2G4A,SERPINF1,SFRP1,SFRP2,SLC43A1,TBX21,TNFRSF10A,ZMAT3"	 
ACVR1	-0.001	kinase	 	 	 	0.000452	"ALPL,C1R,CCN3,DCN,EDIL3,FSTL1,OGN,SRPX2,SUSD5"	 
CDK19	-0.002	kinase	Inhibited	-3.053	bias	0.000014	"AEN,BAX,CCND2,DDIT4,FAS,GADD45A,IER5,JAG2,MDM2,NOTCH1,PHLDA3,SDC1,SFN,SPHK1,STOM,UPP1,ZMAT3"	 
PRKD2	-0.008	kinase	 	 	 	0.0371	"F3,ITGA2"	 
RAF1	-0.012	kinase	Activated	3.014	bias	0.000104	"AKAP12,CCN5,CCND1,DIO2,DUSP4,EMP3,FAS,GNRHR,HSPB1,IL1B,ITGA2,ITGB3,LAMA3,MT1F,MT1M,OPCML,PHLDA1,PLAT,RND3,SDC1,SERPINB2,SLC26A2,ST3GAL4,ST6GALNAC2,TGM2,TIAM1"	432 (19)
PGRMC1	-0.039	transmembrane receptor	 	 	 	0.016	"LCN2,PGR"	 
FGFR2	-0.041	kinase	 	0.691	 	2.99E-08	"B4GALNT4,BAX,CCN4,CCN5,CCND1,CCND2,COL4A1,COL4A2,CPE,FAS,FGF10,GJA1,GPR27,IGF2,IL1B,LAMA1,LAMB1,LGR5,NOSTRIN,NOTCH1,PLP1,PTH1R,SFRP1,SOX2,TSPAN8"	457 (18)
MAPK1	-0.045	kinase	 	0	 	7.37E-09	"ADH1C,AKAP12,ALOX15B,ANPEP,APOE,BST2,C1S,CAV1,CCND1,CFB,CHST7,COL7A1,CRABP2,CTSB,DCN,FES,GFOD1,GNG2,GNRHR,HBA1/HBA2,HSD17B2,IFI27,IFI6,IFIT3,IGFBP6,IGFBP7,IL1B,ISG15,ITGA5,ITGB3,LGALS1,LOX,MMP2,MMP28,NPTX2,NRP1,OLFML2A,PAQR6,PLA2G4A,PLXDC1,POSTN,PRSS12,SAMHD1,SFRP2,SOCS2,SPRY4,TBX21,TMEM158,TRIM22,TSKU"	395 (15)
EP300	-0.206	transcription regulator	 	1.434	bias	0.0000966	"AKAP12,AMPD1,BAX,BBC3,BDKRB2,CA12,CAMK2B,CAPG,CCND1,CRABP2,CRISPLD2,DUSP4,EDARADD,GNG2,HSD11B1,IGFBP6,IL17RE,KCTD1,LAMA3,LAMC2,MAPT,MDM2,MIA,MMP11,MMP7,NOTCH1,NPR1,NTRK3,PDLIM4,PGR,PLA2G4A,RAD51,RAPGEF4,SCN4B,SDC1,SERPINB5,SLC43A1,SOX2,SPHK1,STOM,TIPARP,TMPRSS4,TP53AIP1"	462 (20)
ATN1	0.065	transcription regulator	 	 	 	0.0000956	"ACKR1,ARHGEF28,CHGB,CNR1,DLG4,FGF1,GAS7,GRIK1,GRIN2C,GSN,KCNC3,LTBP2,MCAM,PRKACB,SOCS2,SOX11,SOX4,TIAM1,VSNL1"	 
ERBB4	-0.053	kinase	 	-1.643	 	0.000000649	"CCN5,CCND1,COL5A2,CXCL12,FBLN2,FGF7,GADD45A,GJA1,GJB3,GPC1,HBA1/HBA2,IGF2,IGFBP4,NID1,PGR,SFRP1,SPARCL1,TIMP3"	460 (18)
SRPK2	-0.079	kinase	 	 	 	0.00827	"CCND1,MAPT"	 
SS18	0.151	transcription regulator	Activated	2.121	bias	0.0000883	"CAMK2B,CRLF1,DUSP9,EPHB3,HES4,IGF2,JAG2,NGFR,SOX2"	 
STAT5A	0.227	transcription regulator	 	0.328	 	0.000088	"A2M,ABCB1,AGR2,AKR1C3,APOE,ASCL2,BAX,CCND1,CCND2,CDH17,CHEK1,CPA4,FAS,FOXA1,GADD45A,GZMK,HDGFL3,IL12RB2,KIT,KRT5,LAMB3,LCN2,MDM2,MMP7,PROM2,PRR15L,PRSS23,QPRT,SOCS2,TBX21,TFF3,TSPAN8"	362 (17)
CREBBP	0.421	transcription regulator	 	1.121	bias	0.0000859	"AKAP12,ALAS1,AMPD1,BDKRB2,BMP7,CAMK2B,CAPG,CCND1,CCND2,CRISPLD2,CXCL12,CYP24A1,DUSP4,EDARADD,FGF2,GLI1,GNG2,GNRHR,GRIN2A,GRIN2C,HSD11B1,IL17RE,ISG15,KCTD1,MDM2,MIA,MMP11,NOTCH1,NTRK3,PDLIM4,PGR,RAPGEF4,SCN4B,SDC1,SELP,SLC43A1,STOM,TBX15,TIPARP,TMPRSS4"	381 (20)
ID2	0.14	transcription regulator	 	-0.034	 	0.0000824	"ADM,ASCL2,BMP7,CCND1,CCND2,CCR10,DUSP4,IGFBP4,ITGA3,ITGB3,LEPR,LGALS1,MAP2K6,MMP2,NGFR,NOTCH1,NTRK2,OLFM4,PTPN13,RAP1GAP,RAPGEF4,SDC1,SMOC2,SOX4,TNFSF8,TUBA1A"	260 (9)
FOXA1	1.674	transcription regulator	 	-0.207	 	0.0000787	"ADH1C,AGR2,BMP2,CFTR,COL18A1,DDIT4,FOXA1,FSTL1,H19,HNF4G,JAG1,MUC5B,NES,NPTX2,PGR,PPP1R14C,PRNP,S100A2,SLC12A1,SLC12A2,SNAI2,TFF3"	403 (14)
SOX2	1.988	transcription regulator	 	1.11	 	0.0000777	"ABCC6,ABCG2,ASCL2,BCAN,CCN4,CCN5,CCND1,CHRD,CHST3,CLDN11,CRABP2,CXCL14,DKK3,DUSP4,EFS,ETV4,ETV5,FABP7,FAM107B,FRZB,GJA1,GSN,H19,IER5,INHBA,JAG1,KIF19,KRT19,MFSD2A,NOTCH1,NRP1,PARD6G,PHLDB1,PLAAT3,PLP1,SEMA6A,SLC12A2,SNX22,SOX2,SPRY4,TBX3,TEC,TIMP3,TNR,TP63,WNT5A"	300 (7)
POU2F1	-0.263	transcription regulator	 	 	 	0.000077	"A2M,BBC3,CCND1,CDO1,DDIT4,GADD45A,GCLM,GNRHR,GPX3,GSTM5,LY6E,PTGDS,PTGES,SAA1,SESN2,TIMP3,TNFRSF10A,VWF"	248 (7)
VEGFA	-0.084	growth factor	Activated	3.073	bias	0.0000886	"ABCC1,ALAS1,ANPEP,BAX,BMP2,CAV1,CCND1,CST3,CTSB,CTSV,CXCL12,DUSP4,ETV4,ETV5,F3,FGF2,FGFR1,GJA1,IGFBP4,IL1B,INPP5D,ITGA2,ITGB3,MMP2,NOTCH1,NRP1,PLAT,SNAI2,SNCG,SPARC,STARD8,SYNM,TEK"	442 (18)
PIM3	-0.11	kinase	 	 	 	0.0138	"IL12RB2,IL1B,TBX21"	 
ABL1	-0.114	kinase	 	0.742	bias	0.0000054	"BMP2,CAV1,CCND1,CCND2,CTSB,DOK1,FAS,GADD45A,MDM2,TEK,TP63"	363 (16)
RBPJ	-0.232	transcription regulator	Inhibited	-2.729	 	0.000068	"BMP2,BMP7,CAMP,CCND1,CXCL12,FGF1,FGF10,FGF2,FGF7,GDF10,IGF2,IL1B,INHBA,JAG1,LFNG,MDK,PGF,SDC1,SOX2,SOX4,WNT5A"	429 (21)
EOMES	1.499	transcription regulator	 	-1.739	 	0.000066	"ADM,BHLHE22,CRYM,DUSP4,EGFLAM,FREM1,FRZB,H19,ITGA2,MAP2K6,MEOX1,MXRA5,NRP2,PMP22,RND3,SLC39A2,SOX2"	 
SOX9	0.807	transcription regulator	Activated	3.575	bias	0.0000648	"ACAN,AMH,COMP,CYP26B1,GAS7,GDF10,H19,KIT,KRT15,LBP,MIA,PTGDS,SNAI2"	 
SMAD7	0.454	transcription regulator	Inhibited	-2.088	 	0.0000618	"ADAMTS2,ADH1C,BGN,BMP2,BMP7,CGREF1,CXCL12,DCN,FAS,FSTL3,GADD45A,HDAC9,IL1B,ITGA7,LTBP2,MATN2,MMP2,PLAT,PMEPA1,SOX2,TIMP3"	372 (15)
PTCH1	-0.121	transmembrane receptor	Inhibited	-2.407	 	0.000681	"CCND1,GADD45A,GLI1,IGF2,PTCH2,TNNI2,TNNT3"	286 (10)
STK3	-0.124	kinase	Inhibited	-2	 	0.00884	"CCND1,GPC3,GPT,SOX4"	 
SOX17	1.268	transcription regulator	 	0.788	 	0.0000542	"CCND1,COL4A1,COL4A2,GPT,LAMA1,LAMB1,SOX2,SPARC,VIT"	284 (7)
PPP1R13L	0.239	transcription regulator	 	1.23	 	0.0000516	"BBC3,CCND2,DSC3,GJA1,ITGA3,PKP1,TP63"	378 (15)
ARNT2	0.917	transcription regulator	Activated	3.922	bias	0.0000469	"ALAS2,APOE,BPIFA2,CDH3,CMKLR1,COL12A1,EYA1,GLI1,GPX3,IGFBP4,ITGB3,KCNJ15,KRT5,LAMA2,LAMB3,LHX8,LTF,MSC,PDLIM4,PKIB,PLP1,POSTN,SERPINA5,TCF7L1,THRB,TSC22D3"	 
HMGB2	-0.278	transcription regulator	 	 	 	0.0000431	"BAX,CCL20,CCND1,IL1B,INHBA,MMP14,NRG1,PHLDA1"	24 (2)
ERF	0.884	transcription regulator	 	1.89	 	0.0000352	"BNC1,CDH13,COL4A6,COL7A1,KRT5,PTCH2,TP63"	 
MAPK14	-0.126	kinase	 	0.392	bias	0.00695	"BAX,BMP2,CCND1,FAS,GADD45A,GJA1,IGF2,IL1B,MAP2K6,MAPT,MUC5B,NGFR,NRP1,PTGES,SOX2,TBX21,TGM2,TIMP2,WIF1"	395 (17)
HIF1A	-0.075	transcription regulator	Activated	2.618	bias	0.0000321	"ABCB1,ACAN,ADM,ADORA2B,AKAP12,ANKRD37,APOE,BAX,BGN,BMP2,CAV1,CCN3,CCND1,CTPS1,CXCL12,CYP2S1,DDIT4,FHL1,FSCN1,GJA1,HSPB1,IGF2,IGFBP2,IL1B,ITGA5,ITGB3,KLRC4-KLRK1/KLRK1,KRT19,L1CAM,LGALS1,LOX,MMP2,MMP7,NOTCH1,NTRK2,PFKFB4,PGF,SCG2,SESN2,SFRP1,SNAI2,SPHK1,TLR6,TTN"	420 (19)
TSHZ3	0.719	transcription regulator	 	0.781	 	0.0000268	"BHLHE22,COL23A1,CRYM,FGF10,GDF10,KCNG1,KCTD12,NGFR,NTRK3,PDE2A,RAMP3,SLA"	 
GPER1	-0.146	G-protein coupled receptor	Activated	2.055	bias	0.00348	"BAX,CCND1,DDIT4,DUSP4,FAP,LTF,MT1F,NOTCH1,SFRP2"	483 (18)
CSNK2A1	-0.149	kinase	 	1.067	 	0.0199	"CCND1,ITGA3,SNAI2,TP63"	 
MAP3K4	-0.184	kinase	 	 	 	0.0371	"MMP2,SNAI2"	 
CIC	0.083	transcription regulator	Inhibited	-2.414	bias	0.0000162	"CCND1,DUSP4,ETV4,ETV5,ITGA2,SPRY4"	24 (2)
DDIT3	0.271	transcription regulator	 	-0.46	 	0.0000158	"BBC3,BHLHE22,DDR2,FAP,GPC6,IL1B,ITGA2,JAG1,KRT6B,LCN2,LOX,PLAT,SNAI2,SOX2,TENM4,TGM2,TNFRSF10A,TSC22D3,ZNF827"	359 (13)
BRD7	-0.171	transcription regulator	 	1.501	bias	0.0000156	"BAX,BBC3,FGF2,MDM2,PYCARD,RAD51,TRIM22,ZMAT3"	415 (17)
MTOR	-0.191	kinase	 	0.801	 	0.017	"ADM,ALDH1A3,AMACR,CCND1,DDIT4,DLG4,GSTM5,HBA1/HBA2,HSD11B1,HSD17B2,HSPB1,IGF2,IL1B,MAPT,MDM2,MIA,PGR,PLP1,PTH1R,SGCA,SLC12A2,SNAI2,SNCG,SOAT1,SOX4,SRPX,TBX21,TNFRSF10A,TNFRSF10C"	 
MELK	-0.192	kinase	 	 	 	0.0257	"BAX,MDM2"	 
SUB1	0.151	transcription regulator	 	1.254	 	0.0000132	"BAX,CAMK2B,CCND1,CNTFR,FJX1,GADD45A,KCNG1,KCNK2,MDM2"	281 (7)
EPHA2	-0.21	kinase	 	1.964	 	0.0166	"BAX,FGF2,NES,SOX2"	 
MRTFB	-0.171	transcription regulator	 	0.75	 	0.0000119	"ADM,BBOX1,CAMP,CAVIN2,CMA1,COL5A2,CPA3,DHCR24,F2R,FIBIN,FJX1,GADD45A,GAS2,GSTM5,INHBA,ITGA5,LCN2,LOXL1,LTF,POSTN,RAMP1,SELP,SERPINB2,WTIP"	27 (2)
LATS1	-0.213	kinase	 	-1.912	bias	0.0000584	"ALDH1A3,BAX,CYP24A1,FOXA1,KIT,KRT19,LTF,RRAGD"	 
ERBB3	-0.226	kinase	 	0.845	 	0.000000166	"BAX,BGN,CCND1,CCND2,CMA1,CTSK,CXCL12,ETV5,F3,FBLN2,FGF2,FSTL1,GJB3,HBA1/HBA2,IGF2,MATN2,NID1,SFRP1,SPARC,TGM2,TIMP3,TNNT3"	452 (18)
SYK	-0.246	kinase	Inhibited	-2.466	 	0.0374	"AKAP12,CCND1,CFTR,GADD45A,GLI1,IL1B,ITGB3,NOTCH1,PLEKHG1,RASSF6,TSC22D3"	 
EPAS1	0.528	transcription regulator	Activated	3.788	bias	0.00000652	"ABCG2,ADM,AKAP12,BBC3,C1QA,CA12,CAV1,CCN5,CCND1,CKMT2,CNKSR2,CXCL12,CYBRD1,FBLN2,FGF2,FHL1,GJA1,ITGB3,ITIH5,L1CAM,LOX,MMP14,NOTCH1,PGF,PKIB,PTPRZ1,SOX2,SPHK1,TEK,TNFSF15"	411 (21)
STAT3	0.174	transcription regulator	Activated	2.23	 	0.0000062	"A2M,ADM,ALAS2,ALDH1A3,BST2,CCL20,CCND1,CCND2,CD209,CFB,CHEK1,CTSB,CX3CL1,F3,FAS,FGF2,FSCN1,GADD45A,GBP6,GFAP,GJA1,IFI27,IFI6,IFIT3,IL1B,ISG15,ITGB6,JAG1,KLRC4-KLRK1/KLRK1,LAMB3,LBP,LEPR,LOX,LRP2,LTF,MMP2,MMP7,MX1,NES,NOTCH1,NRP1,NRP2,PBOV1,PGR,PHLDA1,PLA2G4A,POMC,PTPN13,RNASE7,ROR1,SAA1,SELP,SLC1A3,SLC9A3,SNAI2,SOX2,TBX21,TFF3,TRIM22,WNT5A"	403 (15)
