Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Insulin Receptor Signaling	0	0.0357	1.342	"PDE3B,PPP1R14C,PRKACB,SCNN1A,SCNN1B"
Phototransduction Pathway	0	0.0377	#NUM!	"GUCY1A1,PRKACB"
Chemokine Signaling	0	0.0375	#NUM!	"CAMK2B,CCR5,CXCL12"
Death Receptor Signaling	0	0.033	#NUM!	"HSPB1,TNFRSF21,TNFSF15"
PPAR Signaling	0	0.0481	-2	"IL1RAPL1,IL1RL1,NGFR,NR2F1,PDGFRB"
IGF-1 Signaling	0	0.0481	#NUM!	"CCN3,IGFBP2,IGFBP4,IGFBP7,PRKACB"
Apoptosis Signaling	0	0.0404	0	"CAPN5,CAPN6,CAPN9,CDK1"
NF-_B Signaling	0	0.0447	2.121	"FGFR1,FGFR3,NGF,NGFR,NTRK1,NTRK2,PDGFRB,PRKACB"
VEGF Signaling	0	0.0101	#NUM!	PGF
T Cell Receptor Signaling	0	0.019	#NUM!	"BMX,NFATC4"
PDGF Signaling	0	0.0116	#NUM!	PDGFRB
Phagosome Maturation	0	0.0397	#NUM!	"ATP6V0A4,ATP6V1B1,ATP6V1C2,CTSV,NOX4,SNAP25"
Autophagy	0	0.0164	#NUM!	CTSV
Macropinocytosis Signaling	0	0.0395	#NUM!	"ITGB3,ITGB6,NGF"
"PD-1, PD-L1 cancer immunotherapy pathway"	0	0.0283	#NUM!	"NGFR,TGFB2,TGFB3"
Sumoylation Pathway	0	0.0388	-1	"CDH1,RHOJ,RHOV,RND2"
Th1 and Th2 Activation Pathway	0	0.0409	#NUM!	"ACVR1C,CCR5,IL1RL1,JAG1,JAG2,NFATC4,NOTCH1"
Th1 Pathway	0	0.0248	#NUM!	"CCR5,NFATC4,NOTCH1"
Th2 Pathway	0	0.0441	1.342	"ACVR1C,CCR5,IL1RL1,JAG1,JAG2,NOTCH1"
Sirtuin Signaling Pathway	0	0.0378	-0.905	"CDH1,CPS1,H1-5,H3C3,MT-ND5,MT-ND6,NDUFA2,NDUFA4L2,SCNN1A,SOD3,TP73"
Th17 Activation Pathway	0	0.033	#NUM!	"CCL20,DEFB1,NFATC4"
Endocannabinoid Developing Neuron Pathway	0	0.0261	#NUM!	"GNAO1,PRKACB,STMN2"
Apelin Pancreas Signaling Pathway	0	0.0455	#NUM!	"PDE3B,PRKACB"
Apelin Cardiomyocyte Signaling Pathway	0	0.0303	#NUM!	"PLCD3,PLCD4,PLCH2"
Apelin Endothelial Signaling Pathway	0	0.0174	#NUM!	"GNAO1,KLF2"
BAG2 Signaling Pathway	0	0.0233	#NUM!	CDKN1A
T Cell Exhaustion Signaling Pathway	0	0.0171	#NUM!	"ACVR1C,NFATC4,PPP2R2B"
Systemic Lupus Erythematosus In T Cell Signaling Pathway	0	0.015	2.236	"LEPR,PPP2R2B,RHOJ,RHOV,RND2"
Systemic Lupus Erythematosus In B Cell Signaling Pathway	0	0.0182	1.342	"IGHD,NFATC4,TGFB2,TGFB3,TNFSF15"
Inhibition of ARE-Mediated mRNA Degradation Pathway	0	0.0328	0	"NGFR,PPP2R2B,PRKACB,TNFSF15"
Xenobiotic Metabolism General Signaling Pathway	0	0.021	#NUM!	"ABCA4,GSTA1,UGT2B7"
GM-CSF Signaling	0	0.0143	#NUM!	CAMK2B
